Ticker,SimFinId,Date,Close,Volume,Shares Outstanding,Company Name,day_of_week,month,quarter,year,daily_return,ema_20,next_day_return,target_class,next_day_price
AAPL,111052,2019-04-17,50.78,115627120,18429136000.0,APPLE INC,2,4,2,2019,1.947400120457737,49.10294094277988,0.3741630563213819,1,50.97
AAPL,111052,2019-04-18,50.97,96783064,18429136000.0,APPLE INC,3,4,2,2019,0.3741630563213819,49.28075609108656,0.3139101432215101,1,51.13
AAPL,111052,2019-04-22,51.13,77758180,18404300000.0,APPLE INC,0,4,2,2019,0.3139101432215101,49.45687455860213,1.447291218462732,1,51.87
AAPL,111052,2019-04-23,51.87,93291964,18404300000.0,APPLE INC,1,4,2,2019,1.447291218462732,49.68669602921145,-0.15423173317909833,0,51.79
AAPL,111052,2019-04-24,51.79,70162436,18404300000.0,APPLE INC,2,4,2,2019,-0.15423173317909833,49.88701069309607,-0.9075111025294437,0,51.32
AAPL,111052,2019-04-25,51.32,74172824,18404300000.0,APPLE INC,3,4,2,2019,-0.9075111025294437,50.02348586518216,-0.46765393608729927,0,51.08
AAPL,111052,2019-04-26,51.08,74596408,18404300000.0,APPLE INC,4,4,2,2019,-0.46765393608729927,50.12410625897434,0.13703993735317205,1,51.15
AAPL,111052,2019-04-29,51.15,88818864,18404300000.0,APPLE INC,0,4,2,2019,0.13703993735317205,50.221810424786305,-1.9159335288367485,0,50.17
AAPL,111052,2019-04-30,50.17,186139692,18404300000.0,APPLE INC,1,4,2,2019,-1.9159335288367485,50.21687609861618,4.903328682479572,1,52.63
AAPL,111052,2019-05-01,52.63,259309312,18404300000.0,APPLE INC,2,5,2,2019,4.903328682479572,50.4466974225575,-0.6460193805814238,0,52.29
AAPL,111052,2019-05-02,52.29,127985296,18404300000.0,APPLE INC,3,5,2,2019,-0.6460193805814238,50.62225004898059,1.2430675081277465,1,52.94
AAPL,111052,2019-05-03,52.94,83569512,18404300000.0,APPLE INC,4,5,2,2019,1.2430675081277465,50.84298813955387,-1.5489233094068764,0,52.12
